headline,guardian_keywords,esg_category
UK has 'lost world climate leadership role' by axing domestic green policies ,"['environment', 'climate change', 'greenhouse gas emissions', 'renewable energy']",environmental
AGL to shut all coal-fired power stations by 2050 in bid to limit global warming ,"['environment', 'greenhouse gas emissions']",environmental
Scientists confirm dramatic melting of Greenland ice sheet ,"['climate change', 'climate change', 'environment']",environmental
M&amp;S moves to hand out thousands of tonnes of food waste ,"['environment', 'waste']",environmental
Scott Morrison says Australia will attend climate ambition summit to 'correct mistruths' ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
Without a paddle: Camerons go surfing in water polluted with diluted sewage  ,"['pollution', 'environment']",environmental
"Skip the dip? Swimming in the sea increases risk of illness, analysis suggests ","['pollution', 'environment']",environmental
This is how your world could end ,"['climate change', 'environment', 'climate change']",environmental
Joseph Stiglitz: 'America should be a warning to other countries' ,"['climate change', 'environment']",environmental
Oceanographers offer clues to Malaysian airlines crash | John Abraham ,"['environment', 'climate change', 'climate change']",environmental
London mayor unveils plan to tackle 'climate emergency' ,"['climate change', 'greenhouse gas emissions', 'environment']",environmental
UK energy bill subsidies driving boom in polluting diesel farms ,"['environment', 'pollution', 'greenhouse gas emissions']",environmental
New cars producing more carbon dioxide than older models ,"['climate change', 'environment', 'greenhouse gas emissions', 'air pollution']",environmental
UK carbon emissions from electricity hit record low in lockdown – report ,"['renewable energy', 'greenhouse gas emissions', 'climate change', 'environment']",environmental
G20: Theresa May urges countries to raise climate ambitions ,"['climate change', 'environment']",environmental
Eight charts that show 2016 wasn't as bad as you think ,"['climate change', 'greenhouse gas emissions', 'climate change', 'environment']",environmental
Swansea tidal lagoon project faces job cuts and downsizing ,"['renewable energy', 'environment']",environmental
Vanuatu says it may sue fossil fuel companies and other countries over climate change ,"['climate change', 'climate change', 'environment']",environmental
"McDonald's, Wrigley and others call on government to fight £1bn litter problem ","['environment', 'waste']",environmental
Was this the scorcher that finally ended climate denial? | Michael McCarthy ,"['climate change', 'climate change', 'environment']",environmental
Plastic waste dumped in UK seas 'carried to Arctic within two years' ,"['plastics', 'pollution', 'environment']",environmental
Electric cars could be charged at Shell service stations from 2017 ,"['environment', 'greenhouse gas emissions']",environmental
"14 of the 15 hottest years on record have occurred since 2000, UN says ","['climate change', 'environment', 'greenhouse gas emissions', 'climate change']",environmental
Norway's push for Arctic oil and gas threatens Paris climate goals – study ,"['climate change', 'greenhouse gas emissions', 'environment']",environmental
World 'gravely' unprepared for effects of climate crisis – report ,"['climate change', 'environment']",environmental
Before the Flood: Leonardo DiCaprio hopes his new film will inspire climate action ,"['climate change', 'environment']",environmental
Coalition announces $190m plan to divert 10m tonnes of waste from landfill ,"['recycling', 'waste', 'environment', 'plastics']",environmental
It is 'impossible' for today’s big oil companies to adapt to climate change | Jonathan Porritt ,"['renewable energy', 'climate change', 'environment']",environmental
Nuclear is to wind as Betamax is to Netflix – why Hinkley Point C is a turkey | Letters ,"['environment', 'renewable energy']",environmental
Literary figures join Extinction Rebellion campaign against thinktanks ,"['environment', 'climate change']",environmental
Scott Morrison praises Gladys Berejiklian's plan for zero net emissions ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
"More than half US population lives amid dangerous air pollution, report warns ","['pollution', 'environment']",environmental
"Bottle-fed babies swallow millions of microplastics a day, study finds ","['plastics', 'pollution', 'environment']",environmental
Plastic petition by UK nine-year-old gains over 70k signatures in under a week ,"['plastics', 'environment', 'waste', 'recycling']",environmental
Soas becomes first London university to divest from fossil fuels ,"['environment', 'climate change']",environmental
Why the rains failed – and why they may return ,"['climate change', 'environment']",environmental
China leads world's biggest increase in wind power capacity ,"['climate change', 'environment', 'renewable energy']",environmental
"Rewild a quarter of UK to fight climate crisis, campaigners urge ","['climate change', 'greenhouse gas emissions', 'environment']",environmental
Can volcanoes tackle climate change? ,"['climate change', 'environment']",environmental
Climate change: China calls US 'selfish' after Trump seeks to bring back coal ,"['climate change', 'environment']",environmental
The innovators: cheaper batteries could help electric cars hit the mainstream ,"['environment', 'greenhouse gas emissions']",environmental
"New year, new rules: what changes around the world from 1 January ","['waste', 'environment']",environmental
"Major banks put up nearly €1bn for controversial Balkan dams, says report ","['environment', 'renewable energy']",environmental
Australia's inaction on climate change set to dominate Pacific Island talks ,"['climate change', 'environment', 'greenhouse gas emissions']",environmental
Bristol reveals plans to pedestrianise historic centre in Covid-19 revamp ,"['environment', 'air pollution']",environmental
Labour unveils plans for carbon-neutral energy system by 2030s ,"['greenhouse gas emissions', 'renewable energy', 'environment', 'climate change']",environmental
